,run,choice,star_points,pentagon_points,diff_points,is_social,aff_feedback_curr,aff_feedback_prev
6,6,2,58.0,38.0,20.0,1,0,0.0
7,7,1,53.0,38.0,15.0,0,1,0.0
8,8,1,54.0,38.0,16.0,1,0,1.0
9,10,1,48.0,38.0,10.0,0,1,0.0
10,11,2,48.0,41.0,7.0,0,0,1.0
11,12,1,51.0,41.0,10.0,0,0,0.0
12,13,1,47.0,41.0,6.0,0,1,0.0
13,14,1,43.0,41.0,2.0,0,1,1.0
14,15,1,38.0,41.0,-3.0,0,0,1.0
15,16,2,38.0,44.0,-6.0,1,1,0.0
16,17,2,38.0,45.0,-7.0,0,0,1.0
17,18,2,38.0,49.0,-11.0,0,1,0.0
18,19,1,35.0,49.0,-14.0,0,0,1.0
19,20,1,35.0,49.0,-14.0,1,1,0.0
20,21,2,35.0,51.0,-16.0,1,1,1.0
21,22,2,35.0,47.0,-12.0,0,0,1.0
22,24,2,35.0,47.0,-12.0,0,1,0.0
23,25,2,35.0,49.0,-14.0,1,0,1.0
24,26,2,35.0,55.0,-20.0,1,0,0.0
25,27,2,35.0,57.0,-22.0,1,0,0.0
26,28,2,35.0,59.0,-24.0,1,1,0.0
27,29,2,35.0,55.0,-20.0,0,1,1.0
28,30,2,35.0,53.0,-18.0,1,1,1.0
29,31,1,24.0,53.0,-29.0,1,1,1.0
30,33,1,30.0,53.0,-23.0,0,0,1.0
31,34,1,33.0,53.0,-20.0,0,0,0.0
32,35,1,36.0,53.0,-17.0,0,1,0.0
33,36,1,37.0,53.0,-16.0,0,0,1.0
34,37,2,37.0,64.0,-27.0,1,1,0.0
35,38,2,37.0,64.0,-27.0,1,1,1.0
36,39,2,37.0,62.0,-25.0,1,0,1.0
37,0,2,37.0,63.0,-26.0,0,1,0.0
38,1,2,37.0,65.0,-28.0,0,1,1.0
39,3,2,37.0,63.0,-26.0,0,1,1.0
40,4,2,37.0,58.0,-21.0,0,1,1.0
41,5,2,37.0,63.0,-26.0,0,0,1.0
42,6,2,37.0,61.0,-24.0,0,1,0.0
43,7,2,37.0,62.0,-25.0,1,0,1.0
44,8,2,37.0,66.0,-29.0,0,1,0.0
45,9,2,37.0,66.0,-29.0,1,1,1.0
46,10,2,37.0,67.0,-30.0,1,0,1.0
47,11,2,37.0,66.0,-29.0,1,1,0.0
48,12,1,59.0,66.0,-7.0,1,1,1.0
49,13,2,59.0,64.0,-5.0,1,0,1.0
50,14,2,59.0,66.0,-7.0,0,1,0.0
51,15,2,59.0,65.0,-6.0,1,0,1.0
52,16,2,59.0,68.0,-9.0,1,1,0.0
53,17,2,59.0,66.0,-7.0,0,0,1.0
54,18,1,63.0,66.0,-3.0,0,1,0.0
55,19,1,67.0,66.0,1.0,0,1,1.0
56,21,1,65.0,66.0,-1.0,1,0,1.0
57,22,1,65.0,66.0,-1.0,1,1,0.0
58,23,1,63.0,66.0,-3.0,0,0,1.0
59,24,2,63.0,67.0,-4.0,1,1,0.0
60,25,2,63.0,66.0,-3.0,0,0,1.0
61,27,1,63.0,66.0,-3.0,0,1,0.0
62,28,1,63.0,66.0,-3.0,1,0,1.0
63,29,1,67.0,66.0,1.0,1,0,0.0
64,30,1,72.0,66.0,6.0,1,0,0.0
65,32,1,72.0,66.0,6.0,1,1,0.0
66,34,1,77.0,66.0,11.0,1,1,1.0
67,35,1,77.0,66.0,11.0,0,0,1.0
68,36,1,75.0,66.0,9.0,0,0,0.0
69,37,1,75.0,66.0,9.0,1,0,0.0
70,38,1,70.0,66.0,4.0,0,0,0.0
71,0,1,71.0,66.0,5.0,1,0,0.0
72,1,1,73.0,66.0,7.0,0,0,0.0
73,2,1,76.0,66.0,10.0,1,0,0.0
74,3,1,78.0,66.0,12.0,1,1,0.0
75,4,1,74.0,66.0,8.0,0,1,1.0
76,5,1,71.0,66.0,5.0,0,0,1.0
77,6,1,73.0,66.0,7.0,1,1,0.0
78,7,1,77.0,66.0,11.0,0,0,1.0
79,8,1,71.0,66.0,5.0,0,1,0.0
80,9,1,71.0,66.0,5.0,1,1,1.0
81,10,1,74.0,66.0,8.0,0,0,1.0
82,12,1,79.0,66.0,13.0,1,0,0.0
83,13,2,79.0,55.0,24.0,0,0,0.0
84,14,1,81.0,55.0,26.0,1,0,0.0
85,15,1,80.0,55.0,25.0,1,1,0.0
86,17,1,85.0,55.0,30.0,0,1,1.0
87,18,1,86.0,55.0,31.0,0,1,1.0
88,19,1,88.0,55.0,33.0,1,1,1.0
89,20,1,86.0,55.0,31.0,0,1,1.0
90,21,1,86.0,55.0,31.0,0,0,1.0
91,25,2,86.0,47.0,39.0,1,1,0.0
92,27,1,80.0,47.0,33.0,1,0,1.0
93,28,1,85.0,47.0,38.0,0,0,0.0
94,29,1,81.0,47.0,34.0,0,0,0.0
95,31,1,73.0,47.0,26.0,0,1,0.0
96,32,2,73.0,44.0,29.0,1,0,1.0
97,33,2,73.0,46.0,27.0,1,1,0.0
98,34,2,73.0,51.0,22.0,0,0,1.0
99,35,2,73.0,54.0,19.0,1,1,0.0
100,36,2,73.0,55.0,18.0,1,1,1.0
101,37,1,70.0,55.0,15.0,0,1,1.0
102,38,1,70.0,55.0,15.0,1,0,1.0
103,39,1,69.0,55.0,14.0,1,1,0.0
104,0,2,69.0,57.0,12.0,0,0,1.0
105,1,2,69.0,53.0,16.0,0,1,0.0
106,2,2,69.0,51.0,18.0,0,1,1.0
107,3,2,69.0,49.0,20.0,1,0,1.0
108,5,1,85.0,49.0,36.0,1,0,0.0
109,6,1,85.0,49.0,36.0,0,0,0.0
110,7,1,83.0,49.0,34.0,1,0,0.0
111,8,1,83.0,49.0,34.0,0,0,0.0
112,10,2,83.0,48.0,35.0,0,0,0.0
113,12,1,86.0,48.0,38.0,1,0,0.0
114,13,1,85.0,48.0,37.0,0,1,0.0
115,14,1,81.0,48.0,33.0,0,0,1.0
116,15,1,77.0,48.0,29.0,0,1,0.0
117,16,1,73.0,48.0,25.0,1,1,1.0
118,17,1,74.0,48.0,26.0,1,1,1.0
119,20,1,74.0,48.0,26.0,1,0,1.0
120,22,1,73.0,48.0,25.0,0,1,0.0
121,23,1,73.0,48.0,25.0,0,1,1.0
122,25,1,73.0,48.0,25.0,0,1,1.0
123,26,1,75.0,48.0,27.0,1,1,1.0
124,27,1,78.0,48.0,30.0,0,1,1.0
125,28,1,74.0,48.0,26.0,1,1,1.0
126,29,1,73.0,48.0,25.0,1,1,1.0
127,30,1,71.0,48.0,23.0,1,1,1.0
128,32,1,70.0,48.0,22.0,1,0,1.0
129,33,1,69.0,48.0,21.0,1,0,0.0
130,35,1,69.0,48.0,21.0,1,1,0.0
131,36,1,72.0,48.0,24.0,0,0,1.0
132,37,1,71.0,48.0,23.0,0,1,0.0
133,38,1,73.0,48.0,25.0,0,0,1.0
134,39,1,69.0,48.0,21.0,0,0,0.0
